,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
132,1.25,-1.74,2.18,338.9,2017-03-27 06:52:49,33,3.05655034312,2.14245186644,45.4977025857,16.1746281665
133,1.48,-1.2,2.28,338.7,2017-03-27 06:52:49,33,2.97132966868,1.90536085821,-50.115015728,16.1746281665
134,1.98,-0.15,2.39,338.75,2017-03-27 06:52:49,33,3.10724958766,1.9856736892,-50.2793226404,16.1746281665
135,3.36,1.14,1.69,338.82,2017-03-27 06:52:50,34,3.93005089026,3.54812626607,25.4688215863,16.1367873174
136,4.86,1.32,2.56,338.85,2017-03-27 06:52:50,34,5.64938934753,5.03606989626,26.9457285633,16.1367873174
137,4.17,1.09,2.12,338.82,2017-03-27 06:52:50,34,4.80326971968,4.31010440709,26.191070589,16.1367873174
138,3.63,0.88,1.77,338.82,2017-03-27 06:52:50,34,4.13330376334,3.7351439062,25.3552121928,16.1367873174
139,3.31,1.23,1.77,338.91,2017-03-27 06:52:51,35,3.9499240499,3.5311471224,26.6224804632,15.9793165072
140,4.25,1.43,2.54,338.81,2017-03-27 06:52:51,35,5.15354247096,4.48412756286,29.5290552229,15.9793165072
141,3.91,1.67,2.71,338.9,2017-03-27 06:52:51,35,5.04193415268,4.25170554013,32.5130808887,15.9793165072
142,4.3,1.7,1.96,338.95,2017-03-27 06:52:51,35,5.02211110988,4.62385120868,22.971557096,15.9793165072
143,3.18,2.04,1.37,338.81,2017-03-27 06:52:52,36,4.01881823426,3.77809475794,19.9314868697,16.0225381239
144,3.59,0.19,1.16,338.83,2017-03-27 06:52:52,36,3.77753888134,3.59502433928,17.8832397222,16.0225381239
145,3.59,-0.13,1.58,338.9,2017-03-27 06:52:52,36,3.92446174653,3.59235298934,23.7410045953,16.0225381239
146,4.2,0.22,1.63,338.83,2017-03-27 06:52:52,36,4.51057645983,4.20575795785,21.1845331657,16.0225381239
147,4.53,1.47,1.32,338.98,2017-03-27 06:52:53,37,4.94208458042,4.7625413384,15.4914021277,16.1904183992
148,4.16,1.78,1.8,339.0,2017-03-27 06:52:53,37,4.86970224962,4.52482043843,21.6929516518,16.1904183992
149,3.87,1.21,1.41,339.01,2017-03-27 06:52:53,37,4.29291276408,4.05475030057,19.1746220753,16.1904183992
150,4.69,0.41,1.98,339.14,2017-03-27 06:52:53,37,5.10730848882,4.70788699949,22.8102025492,16.1904183992
151,3.38,0.53,0.66,339.08,2017-03-27 06:52:54,38,3.48437942825,3.42130092216,10.9187512566,16.477612572
152,4.04,0.33,1.67,338.91,2017-03-27 06:52:54,38,4.38399361313,4.05345531615,22.3913759962,16.477612572
153,3.09,0.77,1.15,338.93,2017-03-27 06:52:54,38,3.38577908317,3.18449368032,19.8559138802,16.477612572
154,3.61,0.66,1.24,339.06,2017-03-27 06:52:54,38,3.87366751284,3.66983650862,18.6695819133,16.477612572
155,4.2,1.54,1.89,339.16,2017-03-27 06:52:55,39,4.85630517987,4.47343268643,22.9037827337,16.3222239647
156,3.15,0.8,1.55,339.23,2017-03-27 06:52:55,39,3.60069437748,3.25,25.4975514933,16.3222239647
157,2.96,0.37,1.79,339.07,2017-03-27 06:52:55,39,3.47887912983,2.98303536687,30.966281364,16.3222239647
158,3.17,-0.58,1.57,338.99,2017-03-27 06:52:55,39,3.5847175621,3.22262315513,25.974452931,16.3222239647
159,3.7,-0.81,1.17,339.02,2017-03-27 06:52:56,40,3.96421492858,3.78762458541,-17.1659568656,16.3461840634
160,3.43,-0.68,1.33,338.99,2017-03-27 06:52:56,40,3.74114955595,3.49675563916,-20.8244408779,16.3461840634
161,3.49,-0.46,1.53,338.99,2017-03-27 06:52:56,40,3.83830691842,3.52018465425,-23.4915147001,16.3461840634
162,4.21,0.31,1.63,339.02,2017-03-27 06:52:56,40,4.52516298049,4.22139787274,21.1129718263,16.3461840634
163,4.1,0.68,1.68,339.04,2017-03-27 06:52:57,41,4.48272238712,4.1560076997,22.0102378175,16.2022984247
164,3.68,2.21,2.85,338.95,2017-03-27 06:52:57,41,5.1525721732,4.2926099287,33.5814462936,16.2022984247
165,3.82,0.79,2.35,338.86,2017-03-27 06:52:57,41,4.55400922265,3.90083324432,31.0662474897,16.2022984247
166,3.8,0.19,2.12,338.81,2017-03-27 06:52:57,41,4.35551374696,3.80474703496,29.1264939196,16.2022984247
167,4.47,0.21,2.08,338.86,2017-03-27 06:52:58,42,4.93471377083,4.47493016705,24.9295573642,16.0525080173
168,4.11,-0.03,2.44,338.86,2017-03-27 06:52:58,42,4.77981171177,4.11010948759,-30.6958315315,16.0525080173
